"충북","12월",767,14,1277,601,15,901,631,13,941,600,10,887,676,6,943
"충남","전체",9404,308,14087,8952,261,13381,8423,265,12197,8164,230,11964,8606,198,12392
"충남","1월",586,27,818,714,27,1071,550,16,752,571,17,803,564,14,795
"충남","2월",582,15,935,619,17,900,587,16,874,501,17,733,564,14,814
"충남","3월",721,18,1110,586,26,875,641,14,945,570,15,811,667,15,940
"충남","4월",759,21,1107,651,19,1031,785,24,1152,713,13,1047,715,9,1053
"충남","5월",864,19,1254,786,18,1192,725,21,1045,799,16,1161,717,13,1007
"충남","6월",826,30,1265,827,17,1229,730,22,1074,698,22,1020,722,9,1074
"충남","7월",804,26,1233,754,24,1116,735,24,1080,719,17,1079,733,20,979
"충남","8월",833,23,1271,766,25,1174,685,25,966,661,18,981,771,23,1148
"충남","9월",802,23,1262,829,21,1203,747,27,1085,745,31,1093,845,15,1286
"충남","10월",916,42,1332,921,28,1358,811,29,1170,739,17,1138,774,25,1114
"충남","11월",947,33,1357,774,24,1152,770,22,1120,797,24,1109,832,21,1154
"충남","12월",764,31,1143,725,15,1080,657,25,934,651,23,989,702,20,1028
"전북","전체",7615,238,11651,6451,220,9778,6112,193,8906,5681,194,8091,5830,171,8538
"전북","1월",491,14,733,573,20,854,428,8,634,426,7,602,389,11,583
"전북","2월",516,17,853,482,16,743,423,14,620,360,8,507,358,12,512
"전북","3월",592,17,888,489,18,746,530,15,797,405,11,567,493,15,677
"전북","4월",623,16,1018,511,11,748,506,17,730,501,16,760,508,9,746
"전북","5월",713,23,1098,544,17,828,502,19,721,519,12,690,520,13,773
"전북","6월",651,20,967,580,18,897,516,18,755,521,24,712,491,7,747
"전북","7월",622,15,908,553,21,876,577,17,870,487,13,678,513,10,782
"전북","8월",705,23,1162,537,20,876,490,19,743,488,23,685,530,19,763
"전북","9월",637,22,1006,579,20,856,521,14,741,478,13,702,490,17,741
"전북","10월",721,31,1055,612,22,886,588,18,843,566,23,831,527,23,775
"전북","11월",706,23,1041,556,21,835,577,23,811,516,25,745,556,21,781
"전북","12월",638,17,922,435,16,633,454,11,641,414,19,612,455,14,658
"전남","전체",10877,294,17905,9816,273,15645,8685,255,13522,8335,201,12611,8287,227,12594
"전남","1월",793,23,1259,836,20,1326,591,25,920,583,19,854,551,14,846
"전남","2월",678,17,1152,709,21,1123,612,11,971,535,11,809,555,19,822
"전남","3월",847,24,1332,764,20,1210,727,20,1093,608,16,908,683,16,978
"전남","4월",911,28,1609,705,11,1107,726,19,1140,768,25,1144,698,18,1091
"전남","5월",1001,31,1677,874,25,1453,745,21,1178,749,11,1137,760,23,1137
"전남","6월",906,24,1485,963,29,1568,750,19,1217,656,10,966,704,28,1028
"전남","7월",872,16,1419,764,17,1247,770,23,1208,726,15,1130,667,16,986
"전남","8월",943,24,1547,831,28,1342,748,18,1193,728,19,1155,708,22,1129
"전남","9월",924,24,1525,869,24,1358,738,28,1169,727,24,1094,751,20,1174
"전남","10월",1087,31,1711,924,30,1477,823,23,1259,792,22,1243,751,15,1166
"전남","11월",1030,23,1699,799,16,1220,760,30,1161,795,13,1175,762,23,1166
"전남","12월",885,29,1490,778,32,1214,695,18,1013,668,16,996,697,13,1071
"경북","전체",14648,354,21970,12673,354,18723,12100,334,17690,11037,309,16189,10777,263,15596
"경북","1월",1017,30,1523,1030,29,1527,854,20,1283,851,18,1299,788,17,1154
"경북","2월",865,26,1370,858,23,1259,811,14,1220,669,25,931,677,15,979
"경북","3월",1121,30,1687,801,17,1168,968,27,1370,722,20,1001,919,18,1344
"경북","4월",1198,31,1808,959,21,1381,1047,22,1528,941,25,1437,912,34,1282
